Matricula,Nome,Telefone,Email
MAT001,Maria Silva,71 91234-5678,maria.silva@gmail.com
MAT002,João Santos,71 98765-4321,joao.santos@gmail.com
MAT003,Ana Ferreira,71 97654-3210,ana.ferreira@gmail.com
MAT004,Pedro Oliveira,71 94321-8765,pedro.oliveira@gmail.com
MAT005,Camila Souza,71 91234-5678,camila.souza@gmail.com
MAT006,Luiz Pereira,71 98765-4321,luiz.pereira@gmail.com
MAT007,Beatriz Alves,71 97654-3210,beatriz.alves@gmail.com
MAT008,Gabriel Lima,71 94321-8765,gabriel.lima@gmail.com
MAT009,Laura Ribeiro,71 91234-5678,laura.ribeiro@gmail.com
MAT010,Lucas Gomes,71 98765-4321,lucas.gomes@gmail.com
MAT011,Sofia Barbosa,71 97654-3210,sofia.barbosa@gmail.com
MAT012,Enzo Rodrigues,71 94321-8765,enzo.rodrigues@gmail.com
MAT013,Isabela Santos,71 91234-5678,isabela.santos@gmail.com
MAT014,Arthur Martins,71 98765-4321,arthur.martins@gmail.com
MAT015,Alice Pereira,71 97654-3210,alice.pereira@gmail.com
MAT016,Bernardo Almeida,71 94321-8765,bernardo.almeida@gmail.com
MAT017,Valentina Lima,71 91234-5678,valentina.lima@gmail.com
MAT018,Theo Castro,71 98765-4321,theo.castro@gmail.com
MAT019,Helena Ferreira,71 97654-3210,helena.ferreira@gmail.com
MAT020,Samuel Oliveira,71 94321-8765,samuel.oliveira@gmail.com
MAT021,Lívia Almeida,71 91234-5678,livia.almeida@gmail.com
MAT022,Davi Ribeiro,71 98765-4321,davi.ribeiro@gmail.com
MAT023,Isabella Gomes,71 97654-3210,isabella.gomes@gmail.com
MAT024,Matheus Rodrigues,71 94321-8765,matheus.rodrigues@gmail.com
MAT025,Mariana Santos,71 91234-5678,mariana.santos@gmail.com
MAT026,Gabriel Barbosa,71 98765-4321,gabriel.barbosa@gmail.com
MAT027,Eloá Martins,71 97654-3210,eloa.martins@gmail.com
MAT028,Arthur Almeida,71 94321-8765,arthur.almeida@gmail.com
MAT029,Sophia Lima,71 91234-5678,sophia.lima@gmail.com
MAT030,Gustavo Castro,71 98765-4321,gustavo.castro@gmail.com
MAT031,Maria Eduarda Oliveira,71 97654-3210,mariaeduarda.oliveira@gmail.com
